id,employeeName,email,department,role,managerId,salary
2001,José Javier Óñiz,jose.oniz@domain.es,Engineering,Senior Architect,2004,145000
2002,Chun Li (李春),chun.li@asia.cn,Engineering,Staff Engineer,2004,160000
2003,John Doe,   j.doe@space.com   ,Data,   Data Scientist   ,2004,115000
2004,Jane-Sébastien M'G调,jane.mg@corp.ca,Engineering,VP of Engineering,2006,250000
2005,Negative ID Test,neg.id@test.com,Engineering,Developer,2004,-12000
2006,Rich Employee,rich@test.com,Executive,CEO,,2147483647
2007,Overflow Employee,overflow@test.com,Executive,Founder,,9999999999999999
2008,Missing At Sign,no-at-domain.com,Analytics,Analyst,2006,60000
2009,Multiple @@ Signs,user@@domain.com,Analytics,Analyst,2006,65000
2010,Name with Numbers 123,num.name@test.com,Engineering,Developer,2004,80000
2011,Admin '; DROP TABLE EMPLOYEE; --,sql@inject.com,Security,Security,2006,90000
2022,Test Christian,christian@test.com,Engineering,Intern,2001,30000
2012,Valid End Record,final.valid@test.com,Data,Database Developer,2004,105000
